,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,20059,01,15,22,28,32,03,11,"845,222,708",2,"10,000,000",72,"191,667","288,214,989",2020-07-06
1,20058,01,15,19,26,27,05,10,"801,073,309",5,"9,421,778",137,"80,612","311,403,757",2020-07-04
2,20057,17,20,21,22,31,02,08,"819,749,459",2,"10,000,000",93,"120,838","290,961,693",2020-07-01
3,20056,03,11,25,29,34,03,06,"788,369,268",2,"10,000,000",77,"185,738","293,376,714",2020-06-29
4,20055,03,04,12,18,34,10,12,"733,955,513",0,0,69,"245,252","323,557,054",2020-06-27
5,20054,11,14,15,19,20,03,07,"652,393,350",8,"6,499,570",109,"119,965","316,196,813",2020-06-24
6,20053,02,15,18,21,27,03,06,"660,208,306",2,"10,000,000",72,"226,197","321,021,775",2020-06-22
7,20052,09,11,26,28,35,06,07,"617,935,817",1,"10,000,000",109,"139,182","346,849,702",2020-06-20
8,20051,02,07,09,19,33,01,07,"546,514,270",3,"9,837,277",135,"83,927","316,737,986",2020-06-17
9,20050,03,14,16,22,34,02,06,"519,429,958",3,"10,000,000",47,"338,385","319,364,735",2020-06-15
10,20049,03,11,15,22,30,08,10,"466,168,612",7,"6,767,678",175,"79,868","346,562,943",2020-06-13
11,20048,03,09,10,15,16,07,09,"464,779,671",6,"6,920,039",92,"145,440","326,341,634",2020-06-10
12,20047,04,18,27,28,30,03,10,"459,553,012",5,"7,088,857",83,"168,127","329,244,489",2020-06-08
13,20046,15,24,27,30,34,04,12,"450,033,830",2,"10,000,000",93,"167,603","356,817,551",2020-06-06
14,20045,02,09,16,23,27,03,08,"397,099,392",56,"5,129,137",351,"22,068","331,645,185",2020-06-03
15,20044,01,03,22,28,30,02,05,"793,042,322",4,"7,648,434",79,"159,905","326,278,357",2020-06-01
16,20043,12,13,17,31,32,01,06,"775,887,380",2,"10,000,000",64,"247,923","361,785,294",2020-05-30
17,20042,03,04,05,11,22,05,06,"712,471,085",73,"5,024,350",1424,"20,000","329,246,559",2020-05-27
18,20041,07,13,20,29,34,04,07,"1,240,028,370",10,"8,174,807",85,"164,840","323,641,936",2020-05-25
19,20040,02,17,20,28,29,01,07,"1,290,293,247",3,"10,000,000",99,"155,828","350,219,331",2020-05-23
20,20039,01,05,15,22,31,02,09,"1,252,426,577",2,"10,000,000",82,"200,203","327,734,435",2020-05-20
21,20038,04,15,20,22,24,01,09,"1,189,804,474",1,"10,000,000",68,"235,783","321,713,613",2020-05-18
22,20037,01,04,10,11,14,02,05,"1,119,552,352",11,"8,423,230",163,"97,469","347,550,329",2020-05-16
23,20036,01,05,11,12,26,02,07,"1,165,797,220",6,"10,000,000",99,"152,093","329,608,250",2020-05-13
24,20035,10,11,22,26,28,02,04,"1,181,117,013",2,"10,000,000",80,"190,608","322,907,375",2020-05-11
25,20034,11,13,20,27,31,02,04,"1,119,481,106",8,"9,891,637",65,"286,379","363,231,403",2020-05-09
26,20033,07,19,20,31,34,05,08,"1,148,417,852",6,"10,000,000",96,"143,208","344,128,096",2020-05-06
27,20032,02,03,09,16,32,03,04,"1,167,303,638",19,"5,845,668",169,"37,815","315,030,186",2020-05-04
28,20031,01,02,05,15,21,04,05,"1,285,895,989",7,"9,916,051",102,"134,204","348,801,433",2020-05-02
29,20030,01,08,17,27,30,05,06,"1,308,815,503",6,"9,047,466",154,"71,986","336,512,111",2020-04-29
30,20029,11,14,17,22,30,07,09,"1,333,962,954",4,"10,000,000",100,"122,739","274,347,215",2020-04-27
31,20028,04,05,28,34,35,01,08,"1,319,654,038",13,"6,757,551",201,"60,732","297,809,663",2020-04-25
32,20027,04,07,20,25,32,03,09,"1,403,985,232",6,"9,243,858",76,"168,946","267,026,928",2020-04-22
33,20026,03,15,26,32,34,08,12,"1,423,923,368",7,"9,777,969",97,"148,263","267,647,668",2020-04-20
34,20025,02,14,21,22,26,05,07,"1,442,053,199",5,"10,000,000",81,"158,628","290,980,102",2020-04-18
35,20024,03,05,06,24,30,03,07,"1,437,049,655",4,"9,810,302",143,"56,756","274,944,706",2020-04-15
36,20023,04,11,23,26,30,01,06,"1,448,119,562",5,"10,000,000",76,"144,157","266,526,290",2020-04-13
37,20022,04,14,20,28,35,02,03,"1,459,915,832",1,"10,000,000",85,"132,699","279,808,308",2020-04-11
