,no,num1,num2,num3,num4,num5,num6,num7,bonus_pool,one_count,one_bonus,two_count,two_bonus,sale,date
0,20059,02,04,10,17,22,25,14,1002178704.0,4,10000000.0,190,147308.0,386807160.0,2020-07-05
1,20058,01,03,11,12,19,26,07,958212978.0,18,5569985.0,136,94299.0,356052050.0,2020-07-02
2,20057,09,14,21,23,26,32,03,1019998705.0,3,10000000.0,113,193145.0,349147892.0,2020-06-30
3,20056,02,05,08,12,26,31,14,984522456.0,17,6280167.0,186,146255.0,380233782.0,2020-06-28
4,20055,01,05,07,23,28,30,12,1009674637.0,14,5761052.0,198,67264.0,327140694.0,2020-06-25
5,20054,03,10,19,25,26,31,02,1050374135.0,11,6596678.0,210,104544.0,338817016.0,2020-06-23
6,20053,02,14,15,16,32,33,01,1057074616.0,19,6277278.0,360,84264.0,381666534.0,2020-06-21
7,20052,02,08,13,29,32,33,15,1085336824.0,2,10000000.0,53,568303.0,352815504.0,2020-06-18
8,20051,03,06,08,11,19,28,08,1014976572.0,23,5442583.0,268,47478.0,342968302.0,2020-06-16
9,20050,04,09,17,20,32,33,15,1101983169.0,5,9664099.0,90,323895.0,379409292.0,2020-06-14
10,20049,01,07,09,12,18,22,04,1062851807.0,7,7652110.0,140,165756.0,355402476.0,2020-06-11
11,20048,12,14,18,23,30,32,02,1046798674.0,6,8364818.0,75,336481.0,351604616.0,2020-06-09
12,20047,04,10,17,19,28,32,01,1021279165.0,10,7200661.0,140,196487.0,382084220.0,2020-06-07
13,20046,13,19,25,26,27,32,08,1010760962.0,7,6855509.0,87,186617.0,350122868.0,2020-06-04
14,20045,02,03,15,21,22,33,16,1010042406.0,16,6075531.0,115,187048.0,348295556.0,2020-06-02
15,20044,07,08,16,17,19,24,07,1042719025.0,10,6803090.0,107,210641.0,379328476.0,2020-05-31
16,20043,01,11,24,25,27,30,07,1043134035.0,5,7928059.0,64,285943.0,360394276.0,2020-05-28
17,20042,02,06,07,11,14,31,03,1027873219.0,5,8415115.0,98,217800.0,345472844.0,2020-05-26
18,20041,06,07,16,22,24,25,13,1005915378.0,2,10000000.0,102,255217.0,372422582.0,2020-05-24
19,20040,01,06,12,16,19,21,04,947818891.0,5,8416563.0,92,232103.0,341533118.0,2020-05-21
20,20039,02,09,10,11,16,29,02,925841149.0,9,6952125.0,166,132297.0,341609556.0,2020-05-19
21,20038,01,06,07,18,23,24,15,922526038.0,15,6276646.0,317,75511.0,374760420.0,2020-05-17
22,20037,01,04,11,13,17,24,15,944864355.0,6,6810277.0,65,208878.0,350126486.0,2020-05-14
23,20036,07,09,16,22,24,32,06,944994783.0,3,10000000.0,104,204187.0,346455736.0,2020-05-12
24,20035,10,14,24,25,28,33,11,911288358.0,4,9777104.0,97,246242.0,371811232.0,2020-05-10
25,20034,02,08,15,16,26,32,03,878740204.0,11,6780706.0,182,134531.0,340793680.0,2020-05-07
26,20033,07,10,12,21,31,32,01,879873846.0,4,10000000.0,97,263480.0,320555362.0,2020-05-05
27,20032,03,11,13,14,15,26,13,843200936.0,11,6588951.0,135,161837.0,338904002.0,2020-05-03
28,20031,02,05,09,15,16,27,09,850135149.0,14,5603722.0,310,34081.0,323903392.0,2020-04-30
29,20030,17,18,21,29,30,32,03,896891829.0,1,10000000.0,74,322591.0,327786632.0,2020-04-28
30,20029,01,12,18,20,30,32,05,835276431.0,7,7432574.0,63,337857.0,364268814.0,2020-04-26
31,20028,05,06,15,18,26,32,08,823449380.0,7,7465464.0,153,140998.0,323795596.0,2020-04-23
32,20027,12,13,14,24,25,28,06,810989197.0,3,10000000.0,112,211713.0,324196702.0,2020-04-21
33,20026,01,04,09,18,19,31,06,769853394.0,3,10000000.0,106,181297.0,349633986.0,2020-04-19
34,20025,01,09,10,15,20,29,02,742200788.0,4,9977229.0,156,159526.0,321611812.0,2020-04-16
35,20024,10,13,27,28,29,31,08,707451262.0,8,7028971.0,94,215848.0,317568426.0,2020-04-14
36,20023,04,05,20,21,30,33,08,702813893.0,6,7277843.0,107,159661.0,340318270.0,2020-04-12
37,20022,02,10,20,22,25,30,02,695229480.0,8,6761570.0,97,181605.0,311416184.0,2020-04-09
38,20021,02,06,14,16,27,31,07,696474938.0,5,7581452.0,116,139086.0,296655800.0,2020-04-07
39,20020,01,06,09,13,15,22,14,685979970.0,4,9871526.0,91,267666.0,310764432.0,2020-04-05
40,20019,15,19,27,28,30,33,03,652393178.0,7,7437091.0,60,355409.0,293920314.0,2020-04-02
41,20018,05,07,08,11,17,22,13,640479172.0,8,6340865.0,188,71322.0,287194532.0,2020-03-31
42,20017,02,04,07,15,20,27,04,650980126.0,15,5992154.0,127,146479.0,295712918.0,2020-03-29
43,20016,05,06,08,17,24,27,07,685053744.0,12,5979822.0,89,165138.0,260860736.0,2020-03-26
44,20015,08,09,22,24,30,33,01,712719613.0,1,10000000.0,60,337347.0,255551054.0,2020-03-24
45,20014,02,07,08,10,12,16,07,661997100.0,5,6947355.0,66,184408.0,261933168.0,2020-03-22
46,20013,02,08,10,20,21,30,14,660220960.0,4,7500138.0,184,67938.0,215545590.0,2020-03-19
47,20012,04,13,14,23,26,31,09,652719440.0,3,8598462.0,112,120484.0,198501652.0,2020-03-17
48,20011,04,05,07,17,18,29,01,638032121.0,8,6079680.0,67,161146.0,176331724.0,2020-03-15
49,20010,11,14,22,27,31,32,09,654279153.0,2,8485717.0,42,207483.0,142522854.0,2020-03-12
50,20009,03,06,08,14,19,26,12,645107708.0,16,6003258.0,253,79308.0,405733380.0,2020-01-21
51,20008,01,04,06,10,11,28,16,680964320.0,17,6202629.0,262,97541.0,395048088.0,2020-01-19
52,20007,05,12,17,20,25,31,10,709741377.0,38,5371408.0,269,65583.0,358035962.0,2020-01-16
53,20006,03,04,05,10,16,32,09,860929224.0,20,5735328.0,363,50642.0,361697316.0,2020-01-14
54,20005,11,16,17,22,26,32,04,920486146.0,8,7446888.0,224,109236.0,400642476.0,2020-01-12
55,20004,02,15,17,27,32,33,03,906654598.0,7,7900679.0,189,134290.0,370826158.0,2020-01-09
56,20003,09,17,26,29,30,32,03,885816521.0,16,6237758.0,134,184740.0,368960938.0,2020-01-07
57,20002,04,09,14,15,16,29,11,911355134.0,16,6188650.0,194,122541.0,410784878.0,2020-01-05
58,20001,02,15,23,26,29,30,02,939054504.0,4,10000000.0,113,275836.0,388311860.0,2020-01-02
59,19151,02,06,09,18,24,26,14,885545850.0,8,8200266.0,121,264484.0,405999712.0,2019-12-31
60,19150,02,09,14,22,27,29,02,855139985.0,9,7571049.0,158,183065.0,424037140.0,2019-12-29
61,19149,01,06,27,28,31,33,07,836506504.0,16,6041786.0,120,173631.0,401837358.0,2019-12-26
62,19148,09,10,13,20,26,27,08,870667904.0,42,5386963.0,179,113495.0,412835082.0,2019-12-24
63,19147,01,09,12,14,23,27,12,1035973571.0,10,7003459.0,120,208693.0,428843148.0,2019-12-22
64,19146,01,04,10,12,30,32,14,1030878448.0,4,10000000.0,82,411505.0,400822952.0,2019-12-19
65,19145,01,08,13,17,18,19,16,969648184.0,15,6299971.0,145,168099.0,404721396.0,2019-12-17
66,19144,02,12,15,19,27,30,03,991024359.0,13,6951733.0,276,114911.0,448943976.0,2019-12-15
67,19143,05,13,15,16,26,32,09,986249870.0,11,6396823.0,471,40777.0,421054466.0,2019-12-12
68,19142,08,14,24,27,29,33,09,998995951.0,14,5681439.0,72,165627.0,429455474.0,2019-12-10
69,19141,10,13,14,15,17,33,14,1042760527.0,2,10000000.0,101,317944.0,466103236.0,2019-12-08
70,19140,02,04,09,11,14,22,05,966423413.0,25,5699960.0,187,116972.0,421874374.0,2019-12-05
71,19139,08,14,20,23,30,33,11,1043301115.0,4,10000000.0,87,370721.0,420684332.0,2019-12-03
72,19138,02,06,12,30,31,32,11,986542917.0,15,6123356.0,221,95307.0,455574142.0,2019-12-01
73,19137,07,10,13,19,23,31,06,1015204480.0,27,5601120.0,230,88207.0,414318454.0,2019-11-28
74,19136,12,14,15,17,29,33,12,1105571297.0,7,7822924.0,50,494011.0,411048748.0,2019-11-26
75,19135,03,06,10,11,27,33,03,1086229996.0,4,10000000.0,145,227222.0,448749008.0,2019-11-24
76,19134,01,04,06,22,29,30,03,1027388308.0,7,8383006.0,99,299003.0,424644500.0,2019-11-21
77,19133,03,07,16,21,24,31,07,997265432.0,10,7387274.0,163,183073.0,412973230.0,2019-11-19
78,19132,04,06,11,14,19,33,07,981615374.0,7,8159750.0,141,196083.0,443878462.0,2019-11-17
79,19131,09,17,19,20,24,31,04,955790186.0,12,6956355.0,195,150488.0,413548024.0,2019-11-14
80,19130,01,07,09,11,24,32,16,951230446.0,15,6791765.0,151,222487.0,418172282.0,2019-11-12
81,19129,03,04,07,09,15,26,07,952320130.0,20,5800136.0,360,55565.0,442669038.0,2019-11-10
82,19128,03,08,12,16,17,19,08,1008312621.0,9,6051317.0,118,100231.0,342336168.0,2019-11-07
83,19127,02,06,07,12,17,24,10,1027292513.0,15,5970153.0,227,80133.0,338393664.0,2019-11-05
