,no,num1,num2,num3,num4,num5,num6,num7,bonus_pool,one_count,one_bonus,two_count,two_bonus,sale,date
0,20059,01,15,22,28,32,03,11,845222708.0,2,10000000.0,72,191667.0,288214989.0,2020-07-06
1,20058,01,15,19,26,27,05,10,801073309.0,5,9421778.0,137,80612.0,311403757.0,2020-07-04
2,20057,17,20,21,22,31,02,08,819749459.0,2,10000000.0,93,120838.0,290961693.0,2020-07-01
3,20056,03,11,25,29,34,03,06,788369268.0,2,10000000.0,77,185738.0,293376714.0,2020-06-29
4,20055,03,04,12,18,34,10,12,733955513.0,0,0.0,69,245252.0,323557054.0,2020-06-27
5,20054,11,14,15,19,20,03,07,652393350.0,8,6499570.0,109,119965.0,316196813.0,2020-06-24
6,20053,02,15,18,21,27,03,06,660208306.0,2,10000000.0,72,226197.0,321021775.0,2020-06-22
7,20052,09,11,26,28,35,06,07,617935817.0,1,10000000.0,109,139182.0,346849702.0,2020-06-20
8,20051,02,07,09,19,33,01,07,546514270.0,3,9837277.0,135,83927.0,316737986.0,2020-06-17
9,20050,03,14,16,22,34,02,06,519429958.0,3,10000000.0,47,338385.0,319364735.0,2020-06-15
10,20049,03,11,15,22,30,08,10,466168612.0,7,6767678.0,175,79868.0,346562943.0,2020-06-13
11,20048,03,09,10,15,16,07,09,464779671.0,6,6920039.0,92,145440.0,326341634.0,2020-06-10
12,20047,04,18,27,28,30,03,10,459553012.0,5,7088857.0,83,168127.0,329244489.0,2020-06-08
13,20046,15,24,27,30,34,04,12,450033830.0,2,10000000.0,93,167603.0,356817551.0,2020-06-06
14,20045,02,09,16,23,27,03,08,397099392.0,56,5129137.0,351,22068.0,331645185.0,2020-06-03
15,20044,01,03,22,28,30,02,05,793042322.0,4,7648434.0,79,159905.0,326278357.0,2020-06-01
16,20043,12,13,17,31,32,01,06,775887380.0,2,10000000.0,64,247923.0,361785294.0,2020-05-30
17,20042,03,04,05,11,22,05,06,712471085.0,73,5024350.0,1424,20000.0,329246559.0,2020-05-27
18,20041,07,13,20,29,34,04,07,1240028370.0,10,8174807.0,85,164840.0,323641936.0,2020-05-25
19,20040,02,17,20,28,29,01,07,1290293247.0,3,10000000.0,99,155828.0,350219331.0,2020-05-23
20,20039,01,05,15,22,31,02,09,1252426577.0,2,10000000.0,82,200203.0,327734435.0,2020-05-20
21,20038,04,15,20,22,24,01,09,1189804474.0,1,10000000.0,68,235783.0,321713613.0,2020-05-18
22,20037,01,04,10,11,14,02,05,1119552352.0,11,8423230.0,163,97469.0,347550329.0,2020-05-16
23,20036,01,05,11,12,26,02,07,1165797220.0,6,10000000.0,99,152093.0,329608250.0,2020-05-13
24,20035,10,11,22,26,28,02,04,1181117013.0,2,10000000.0,80,190608.0,322907375.0,2020-05-11
25,20034,11,13,20,27,31,02,04,1119481106.0,8,9891637.0,65,286379.0,363231403.0,2020-05-09
26,20033,07,19,20,31,34,05,08,1148417852.0,6,10000000.0,96,143208.0,344128096.0,2020-05-06
27,20032,02,03,09,16,32,03,04,1167303638.0,19,5845668.0,169,37815.0,315030186.0,2020-05-04
28,20031,01,02,05,15,21,04,05,1285895989.0,7,9916051.0,102,134204.0,348801433.0,2020-05-02
